timestamp,acceleration.x,acceleration.y,acceleration.z
1.487304526598e+12,-0.09,0.04,0.92
1.487304527094e+12,-0.11,-0.01,1.01
1.487304527575e+12,-0.08,0.03,0.92
1.487304528087e+12,-0.13,-0.00,1.00
1.487304528566e+12,-0.09,0.03,0.92
1.487304529063e+12,-0.11,0.04,1.03
1.487304529559e+12,-0.13,0.12,0.98
1.487304530055e+12,-0.09,0.12,1.01
1.487304530551e+12,-0.10,0.16,0.95
1.487304531047e+12,-0.16,0.12,1.04
1.487304531543e+12,-0.07,0.04,0.99
1.48730453204e+12,-0.08,-0.01,1.02
1.487304532534e+12,-0.13,-0.03,0.95
1.487304533031e+12,-0.08,-0.02,1.05
1.487304533526e+12,-0.19,-0.11,1.01
1.487304534028e+12,-0.06,-0.08,0.92
1.487304534519e+12,-0.11,-0.11,0.99
1.487304535015e+12,-0.18,-0.07,0.97
1.48730453551e+12,-0.10,-0.06,1.04
1.487304535989e+12,-0.12,0.00,0.94
1.487304536503e+12,-0.11,-0.05,1.04
1.487304536981e+12,-0.14,0.01,0.93
1.487304537495e+12,-0.09,-0.03,1.04
1.487304537974e+12,-0.12,-0.03,0.96
1.487304538471e+12,-0.10,0.00,1.04
1.487304538967e+12,-0.14,-0.01,0.99
1.487304539462e+12,-0.11,-0.02,1.05
1.487304539959e+12,-0.07,0.03,0.97
1.487304540455e+12,-0.14,-0.12,1.00
1.487304540967e+12,-0.11,-0.09,1.04
1.487304541446e+12,-0.07,-0.01,0.94
1.487304541958e+12,-0.14,-0.05,1.02
1.487304542438e+12,-0.12,-0.07,0.99
1.487304542934e+12,-0.10,-0.01,0.97
1.48730454343e+12,-0.14,-0.04,1.05
1.487304543926e+12,-0.15,-0.05,0.98
1.487304544421e+12,-0.12,-0.04,1.03
1.487304544917e+12,-0.12,0.00,0.94
1.487304545413e+12,-0.13,-0.03,1.07
1.487304545912e+12,-0.12,-0.02,0.95
1.487304546406e+12,-0.12,-0.02,1.06
1.487304546902e+12,-0.11,-0.01,0.93
1.487304547398e+12,-0.11,-0.05,1.06
1.487304547892e+12,-0.11,0.02,0.95
1.48730454839e+12,-0.11,-0.05,1.04
1.487304548889e+12,-0.10,0.02,0.95
1.48730454938e+12,-0.11,-0.05,1.04
1.487304549828e+12,-0.08,0.00,0.97
1.487304550341e+12,-0.11,-0.05,1.00
1.487304550821e+12,-0.09,-0.02,0.99
1.487304551317e+12,-0.10,-0.04,0.98
1.487304551812e+12,-0.10,0.01,0.95
1.487304552309e+12,-0.09,-0.05,1.00
1.487304552805e+12,-0.09,0.01,0.96
1.4873045533e+12,-0.09,-0.04,1.00
1.48730455378e+12,-0.10,0.01,0.96
1.487304554292e+12,-0.10,-0.04,1.03
1.487304554774e+12,-0.11,0.03,0.94
1.487304555284e+12,-0.10,-0.04,1.01
1.487304555764e+12,-0.09,0.01,0.99
1.487304556277e+12,-0.10,-0.01,1.01
1.487304556724e+12,-0.09,0.00,0.94
1.487304557203e+12,-0.16,-0.06,0.99
1.4873045577e+12,-0.08,0.02,0.95
1.487304558196e+12,-0.09,-0.03,1.04
1.487304558691e+12,-0.10,0.02,0.96
1.487304559188e+12,-0.14,-0.10,1.05
1.487304559684e+12,-0.16,-0.01,0.97
1.48730456018e+12,-0.11,-0.03,1.01
1.487304560676e+12,-0.16,-0.03,0.97
1.487304561172e+12,-0.13,-0.03,1.02
1.487304561669e+12,-0.13,-0.02,0.96
1.487304562164e+12,-0.11,-0.04,1.04
1.48730456266e+12,-0.11,-0.00,0.96
1.487304563157e+12,-0.09,-0.06,1.04
1.487304563651e+12,-0.10,0.01,0.95
1.487304564146e+12,-0.10,-0.04,1.03
1.487304564646e+12,-0.09,0.02,0.96
1.487304565139e+12,-0.11,-0.04,1.04
1.487304565638e+12,-0.09,0.01,0.94
1.48730456613e+12,-0.10,-0.04,1.03
1.487304566628e+12,-0.09,0.00,0.96
1.487304567122e+12,-0.09,-0.05,1.04
1.487304567606e+12,-0.08,0.01,0.95
1.487304568115e+12,-0.08,-0.04,1.03
1.487304568595e+12,-0.08,0.00,0.95
1.487304569107e+12,-0.10,-0.03,1.04
1.487304569588e+12,-0.09,0.08,0.94
1.487304570083e+12,-0.11,0.05,0.98
1.487304570579e+12,-0.09,0.09,0.98
1.48730457106e+12,-0.08,0.08,0.99
1.487304571556e+12,-0.06,0.10,0.98
1.487304572051e+12,-0.01,0.04,0.96
1.487304572531e+12,0.05,0.17,0.94
1.487304573027e+12,-0.04,0.12,1.02
1.487304573539e+12,-0.18,0.04,1.03
1.48730457402e+12,-0.07,0.12,0.96
1.487304574513e+12,-0.13,0.12,0.95
1.48730457501e+12,-0.05,0.07,0.99
1.487304575491e+12,-0.19,0.09,0.96
1.487304575987e+12,-0.08,0.01,0.96
1.487304576484e+12,-0.15,0.11,0.99
1.487304576961e+12,-0.15,0.09,0.91
1.487304577459e+12,-0.15,0.03,1.16
1.487304577971e+12,-0.13,0.05,1.05
1.487304578449e+12,-0.02,0.06,0.79
1.487304578945e+12,-0.23,0.01,1.08
1.487304579442e+12,-0.16,0.04,0.87
1.487304579939e+12,-0.11,-0.00,1.02
1.487304580449e+12,-0.18,-0.04,1.03
1.48730458093e+12,-0.13,-0.15,0.94
1.487304581425e+12,-0.08,-0.08,0.85
1.487304581922e+12,-0.15,-0.01,1.04
1.48730458237e+12,0.00,-0.08,0.88
1.487304582883e+12,-0.03,-0.10,1.04
1.487304583362e+12,0.06,-0.19,0.83
1.487304583858e+12,-0.07,-0.15,0.94
1.487304584354e+12,-0.09,-0.16,1.09
1.48730458485e+12,-0.09,-0.18,1.04
1.487304585344e+12,-0.01,-0.10,0.93
1.48730458584e+12,-0.10,-0.17,1.10
1.487304586336e+12,-0.04,-0.14,0.90
1.487304586832e+12,-0.21,-0.12,1.06
1.487304587346e+12,-0.08,-0.20,1.07
1.48730458784e+12,-0.08,-0.10,1.06
1.487304588339e+12,-0.13,-0.11,1.01
1.487304588833e+12,-0.12,-0.16,0.97
1.487304589296e+12,-0.09,0.00,1.01
1.487304589776e+12,-0.00,-0.04,0.94
1.487304590288e+12,-0.10,-0.02,1.02
1.48730459077e+12,-0.11,-0.07,0.98
1.487304591264e+12,-0.04,-0.03,0.95
1.487304591761e+12,-0.11,-0.03,1.06
1.487304592259e+12,-0.08,-0.02,1.00
1.487304592769e+12,-0.09,-0.02,1.04
1.487304593249e+12,-0.07,-0.04,0.99
1.487304593759e+12,-0.08,-0.01,1.01
1.487304594256e+12,-0.12,-0.06,1.02
1.487304594754e+12,-0.08,-0.02,1.04
1.487304595248e+12,-0.08,-0.04,0.99
1.487304595745e+12,-0.09,-0.01,1.01
1.487304596257e+12,-0.11,-0.04,1.01
1.487304596704e+12,-0.09,0.00,0.96
1.487304597199e+12,-0.13,0.01,1.03
1.487304597695e+12,-0.11,0.03,1.04
1.487304598191e+12,-0.02,0.08,0.97
1.487304598687e+12,-0.11,0.14,1.01
1.487304599187e+12,-0.13,0.11,1.00
1.487304599679e+12,-0.11,0.09,1.01
1.487304600191e+12,-0.12,0.07,1.03
1.487304600687e+12,-0.24,0.10,1.00
1.487304601186e+12,-0.13,0.11,1.10
1.487304601679e+12,-0.20,0.07,0.87
1.48730460216e+12,-0.27,0.06,0.98
1.487304602655e+12,-0.22,0.08,1.01
1.487304603156e+12,-0.17,0.09,0.94
1.487304603647e+12,-0.22,0.11,1.05
1.487304604143e+12,-0.20,0.07,0.96
1.487304604639e+12,-0.17,0.05,0.98
1.48730460512e+12,-0.18,0.16,0.96
1.487304605615e+12,-0.17,0.11,1.06
1.487304606128e+12,-0.07,0.07,1.00
1.487304606607e+12,-0.09,0.10,0.98
1.487304607104e+12,-0.11,0.04,1.11
1.4873046076e+12,-0.11,0.09,0.95
1.487304608095e+12,-0.09,0.08,0.94
1.487304608592e+12,-0.05,0.03,1.06
1.487304609087e+12,-0.02,0.02,0.97
1.487304609567e+12,-0.04,0.05,0.89
1.487304610063e+12,-0.09,0.03,0.97
1.487304610558e+12,-0.02,-0.08,1.02
1.487304611071e+12,-0.06,-0.09,1.06
1.48730461157e+12,-0.09,-0.05,1.02
1.487304612061e+12,-0.02,-0.05,0.96
1.487304612558e+12,-0.05,-0.07,1.03
1.487304613054e+12,-0.07,-0.07,0.98
1.487304613537e+12,-0.15,-0.08,0.96
1.487304614046e+12,-0.08,-0.14,1.02
1.487304614542e+12,-0.14,-0.12,1.00
1.487304615039e+12,-0.17,-0.13,1.02
1.487304615536e+12,-0.15,-0.15,1.01
1.487304616046e+12,-0.16,-0.06,1.05
1.487304616526e+12,-0.08,-0.07,0.93
